Time,Open,High,Low,Close,Volume
2009-04-06 00:00,0.817461,0.818063,0.817261,0.817461,3012
2009-04-06 04:00,0.817461,0.817815,0.813868,0.814399,19107
2009-04-06 08:00,0.814399,0.817795,0.81103,0.811491,26885
2009-04-06 12:00,0.811491,0.811557,0.804052,0.804699,70148
2009-04-06 16:00,0.804699,0.807983,0.803762,0.807559,40105
2009-04-06 20:00,0.807624,0.808407,0.803181,0.803181,13373
2009-04-07 00:00,0.803245,0.804991,0.80186,0.804505,17414
2009-04-07 04:00,0.804505,0.808767,0.802568,0.806062,23197
2009-04-07 08:00,0.806062,0.807272,0.801025,0.802536,38033
2009-04-07 12:00,0.802504,0.811096,0.801925,0.810438,65337
2009-04-07 16:00,0.810307,0.810866,0.806907,0.808081,40274
2009-04-07 20:00,0.808081,0.809369,0.807657,0.808571,11520
2009-04-08 00:00,0.808571,0.808669,0.80402,0.805023,16488
2009-04-08 04:00,0.805348,0.806549,0.802214,0.80551,16378
2009-04-08 08:00,0.805412,0.810701,0.805153,0.807624,31228
2009-04-08 12:00,0.807624,0.812546,0.806387,0.809422,72320
2009-04-08 16:00,0.809422,0.810898,0.806907,0.808342,43405
2009-04-08 20:00,0.808342,0.809782,0.807559,0.807722,14143
2009-04-09 00:00,0.807526,0.809684,0.806387,0.808963,11838
2009-04-09 04:00,0.808931,0.812546,0.808669,0.811425,21743
2009-04-09 08:00,0.811425,0.812612,0.808571,0.810701,27979
2009-04-09 12:00,0.810701,0.819001,0.810701,0.81483,92239
2009-04-09 16:00,0.814863,0.81666,0.812942,0.81656,41691
2009-04-09 20:00,0.81656,0.817561,0.815461,0.816327,13571
2009-04-10 00:00,0.81636,0.8171,0.815328,0.816393,7827
2009-04-10 04:00,0.816533,0.81708,0.81473,0.81473,19400
2009-04-10 08:00,0.81473,0.816393,0.813868,0.81483,26605
2009-04-10 12:00,0.815022,0.815834,0.81324,0.81483,20007
2009-04-10 16:00,0.81483,0.815102,0.813173,0.814783,15494
2009-04-10 20:00,0.814697,0.816546,0.814664,0.816127,1540
2009-04-12 20:00,0.816466,0.816793,0.81483,0.815122,7301
2009-04-13 00:00,0.815129,0.816747,0.813968,0.81616,5692
2009-04-13 04:00,0.816127,0.817441,0.81586,0.816093,11696
2009-04-13 08:00,0.81606,0.818833,0.815029,0.818532,13373
2009-04-13 12:00,0.818532,0.819706,0.813041,0.819034,27928
2009-04-13 16:00,0.819001,0.822064,0.81686,0.820345,22902
2009-04-13 20:00,0.820378,0.821659,0.818666,0.820446,8506
2009-04-14 00:00,0.820446,0.82058,0.81706,0.818666,10807
2009-04-14 04:00,0.818666,0.821119,0.817261,0.817996,9105
2009-04-14 08:00,0.818063,0.824708,0.81706,0.823723,16048
2009-04-14 12:00,0.823689,0.826993,0.821085,0.82689,39344
2009-04-14 16:00,0.826925,0.829153,0.823384,0.823825,22160
2009-04-14 20:00,0.823893,0.824402,0.822402,0.823723,8323
2009-04-15 00:00,0.823723,0.824355,0.821085,0.821862,9012
2009-04-15 04:00,0.821929,0.823079,0.820647,0.82149,9471
2009-04-15 08:00,0.821456,0.826139,0.821423,0.82352,22412
2009-04-15 12:00,0.82352,0.831393,0.822267,0.83053,60354
2009-04-15 16:00,0.830565,0.832466,0.827883,0.831152,30219
2009-04-15 20:00,0.831152,0.83212,0.829772,0.830427,9349
